Time (s),Race Time,Speed,Gs
11.4,0.0,65,1.34
11.43,0.0,65,1.24
11.47,0.0,66,1.34
11.5,0.0,68,1.18
11.53,0.0,69,1.06
11.57,0.0,,1.0
11.6,0.0,,1.06
11.63,0.0,73,1.08
11.67,0.0,74,1.13
11.7,0.0,75,1.12
11.73,0.0,76,1.15
11.77,0.0,78,1.2
11.8,0.0,79,1.04
11.83,0.0,80,0.98
11.87,0.0,81,0.96
11.9,0.0,82,0.91
11.93,0.0,83,0.86
11.97,0.0,84,0.9
12.0,0.0,85,0.87
12.03,0.0,86,0.81
12.07,0.0,87,0.82
12.1,0.0,88,0.88
12.13,0.0,89,0.92
12.17,0.0,90,0.79
12.2,0.0,90,0.77
12.23,0.0,92,0.72
12.27,0.0,92,0.72
12.3,0.0,93,0.73
12.33,0.0,94,0.72
12.37,0.0,95,0.72
12.4,0.0,96,0.72
12.43,0.0,96,0.6
12.47,0.0,97,0.64
12.5,0.0,96,0.39
12.53,0.0,94,0.38
12.57,0.0,92,1.25
12.6,0.0,90,1.44
12.63,0.0,87,1.73
12.67,0.0,84,1.86
12.7,0.0,80,2.0
12.73,0.0,76,
12.77,0.0,73,2.06
12.8,0.0,69,2.12
12.83,0.0,66,2.01
12.87,0.0,66,2.1
12.9,0.0,65,1.94
12.93,0.0,63,1.96
12.97,0.0,60,1.92
13.0,0.0,58,1.87
13.03,0.0,58,1.95
13.07,0.0,55,1.88
13.1,0.0,52,1.76
13.13,0.0,51,1.82
13.17,0.0,53,1.75
13.2,0.0,54,1.8
13.23,0.0,53,1.58
13.27,0.0,54,1.23
13.3,0.0,54,1.23
13.33,0.0,54,1.33
13.37,0.0,55,1.76
13.4,0.0,55,1.55
13.43,0.0,55,0.88
13.47,0.0,56,1.01
13.5,0.0,56,1.34
13.53,0.0,56,1.51
13.57,0.0,56,1.48
13.6,0.0,55,1.68
13.63,0.0,54,1.58
13.67,0.0,51,1.64
13.7,0.0,49,1.58
13.73,0.0,50,1.74
13.77,0.0,48,1.69
13.8,0.0,45,1.71
13.83,0.0,46,1.61
13.87,0.0,46,1.59
13.9,0.0,46,1.1
13.93,0.0,47,1.15
13.97,0.0,49,1.16
14.0,0.0,51,0.98
14.03,0.0,53,1.29
14.07,0.0,53,1.22
14.1,0.0,52,1.63
14.13,0.0,50,1.88
14.17,0.0,48,1.97
14.2,0.0,47,1.62
14.23,0.0,47,1.5
14.27,0.0,47,1.7
14.3,0.0,47,1.5
14.33,0.0,48,1.58
14.37,0.0,48,1.5
14.4,0.0,48,1.72
14.43,0.0,48,1.73
14.47,0.0,48,1.65
14.5,0.0,49,1.68
14.53,0.0,50,1.41
14.57,0.0,51,1.43
14.6,0.0,50,1.67
14.63,0.0,51,1.14
14.67,0.0,51,0.39
14.7,0.0,49,0.33
14.73,0.0,48,0.58
14.77,0.0,47,0.62
14.8,0.0,46,0.72
14.83,0.0,46,1.14
14.87,0.0,47,1.1
14.9,0.0,47,0.97
14.93,0.0,47,1.3
14.97,0.0,47,1.23
15.0,0.0,47,1.51
15.03,0.0,48,1.17
15.07,0.0,50,1.14
15.1,0.0,51,1.34
15.13,0.0,51,1.24
15.17,0.0,51,1.51
15.2,0.0,50,1.57
15.23,0.0,50,1.18
15.27,0.0,50,0.65
15.3,0.0,49,0.26
15.33,0.0,49,0.17
15.37,0.0,48,0.38
15.4,0.0,46,0.78
15.43,0.0,44,0.83
15.47,0.0,44,0.99
15.5,0.0,46,1.03
15.53,0.0,46,1.05
15.57,0.0,46,1.46
15.6,0.0,46,1.96
15.63,0.0,46,1.75
15.67,0.0,46,1.69
15.7,0.0,47,1.46
15.73,0.0,47,1.05
15.77,0.0,48,1.73
15.8,0.0,48,1.8
15.83,0.0,48,1.33
15.87,0.0,48,1.4
15.9,0.0,49,1.46
15.93,0.0,49,1.47
15.97,0.0,49,1.3
16.0,0.0,50,1.15
16.03,0.0,50,1.49
16.07,0.0,51,0.84
16.1,0.0,50,0.6
16.13,0.0,49,0.54
16.17,0.0,51,0.41
16.2,0.0,53,0.42
16.23,0.0,51,1.23
16.27,0.0,50,1.27
16.3,0.0,50,1.97
16.33,0.0,51,1.55
16.37,0.0,50,1.03
16.4,0.0,49,1.35
16.43,0.0,49,1.28
16.47,0.0,51,1.48
16.5,0.0,53,1.29
16.53,0.0,54,0.99
16.57,0.0,54,1.01
16.6,0.0,55,1.37
16.63,0.0,56,1.57
16.67,0.0,56,1.53
16.7,0.0,54,1.57
16.73,0.0,54,1.12
16.77,0.0,54,0.43
16.8,0.0,55,0.67
16.83,0.0,55,0.96
16.87,0.0,56,1.19
16.9,0.0,58,1.0
16.93,0.0,59,1.27
16.97,0.0,60,0.86
17.0,0.0,61,0.92
17.03,0.0,63,1.04
17.07,0.0,64,1.36
17.1,0.0,62,1.77
17.13,0.0,61,1.8
17.17,0.0,64,1.48
17.2,0.0,63,1.6
17.23,0.0,61,1.72
17.27,0.0,61,1.67
17.3,0.0,61,1.67
17.33,0.0,61,1.82
17.37,0.0,60,1.97
17.4,0.0,61,2.07
17.43,0.0,63,1.57
17.47,0.0,65,1.38
17.5,0.0,68,1.29
17.53,0.0,70,1.52
17.57,0.0,70,1.51
17.6,0.0,70,1.61
17.63,0.0,69,1.56
17.67,0.0,68,1.86
17.7,0.0,68,1.87
17.73,0.0,68,1.59
17.77,0.0,68,1.75
17.8,0.0,68,1.51
17.83,0.0,69,1.48
17.87,0.0,69,1.62
17.9,0.0,69,1.66
17.93,0.0,70,1.59
17.97,0.0,,1.53
18.0,0.0,,1.53
18.03,0.0,72,1.33
18.07,0.0,73,1.31
18.1,0.0,75,1.16
18.13,0.0,75,0.86
18.17,0.0,76,0.6
18.2,0.0,76,0.37
18.23,0.0,76,0.18
18.27,0.0,76,0.03
18.3,0.0,76,0.02
18.33,0.0,76,0.2
18.37,0.0,,0.46
18.4,0.0,72,0.82
18.43,0.0,,1.24
18.47,0.0,69,1.49
18.5,0.0,68,1.56
18.53,0.0,68,1.39
18.57,0.0,67,1.21
18.6,0.0,66,1.08
18.63,0.0,66,1.18
18.67,0.0,67,1.61
18.7,0.0,67,1.69
18.73,0.0,68,1.77
18.77,0.0,69,1.3
18.8,0.0,70,1.51
18.83,0.0,,1.35
18.87,0.0,,1.49
18.9,0.0,73,1.31
18.93,0.0,74,1.41
18.97,0.0,72,1.89
19.0,0.0,,1.85
19.03,0.0,,1.9
19.07,0.0,72,1.74
19.1,0.0,72,1.94
19.13,0.0,72,1.85
19.17,0.0,73,1.66
19.2,0.0,74,1.36
19.23,0.0,76,1.32
19.27,0.0,,1.61
19.3,0.0,78,1.81
19.33,0.0,79,1.92
19.37,0.0,77,1.63
19.4,0.0,77,1.82
19.43,0.0,78,1.7
19.47,0.0,78,1.5
19.5,0.0,79,1.66
